created_at,entry_id,co2_ppm,ch4_ppm,fecha,tiempo_relativo_min
2025-08-20 13:43:13-05:00,1970,877.25,873.51569,2025-08-20,0.0
2025-08-20 13:43:31-05:00,1971,843.5,839.5313199999999,2025-08-20,0.3
2025-08-20 13:43:55-05:00,1972,809.75,805.5469499999999,2025-08-20,0.7
2025-08-20 13:44:19-05:00,1973,776.0,771.56258,2025-08-20,1.1
2025-08-20 13:44:43-05:00,1974,742.25,737.5782099999999,2025-08-20,1.5
2025-08-20 13:45:07-05:00,1975,708.5,703.59384,2025-08-20,1.9
2025-08-20 13:45:31-05:00,1976,674.75,669.60947,2025-08-20,2.3
2025-08-20 13:45:55-05:00,1977,641.0,635.6251,2025-08-20,2.7
2025-08-20 13:46:19-05:00,1978,607.25,601.64073,2025-08-20,3.1
2025-08-20 13:46:43-05:00,1979,573.5,567.65636,2025-08-20,3.5
2025-08-20 13:47:08-05:00,1980,539.75,533.67199,2025-08-20,3.9166666666666665
2025-08-20 13:56:07-05:00,1981,506.0,499.68762,2025-08-20,12.9
2025-08-20 13:56:31-05:00,1982,502.0,496.87512,2025-08-20,13.3
2025-08-20 13:56:55-05:00,1983,494.0,489.84369,2025-08-20,13.7
2025-08-20 13:57:19-05:00,1984,488.0,483.51569,2025-08-20,14.1
2025-08-20 13:57:43-05:00,1985,483.0,479.29681,2025-08-20,14.5
2025-08-20 13:58:07-05:00,1986,480.0,475.78131,2025-08-20,14.9
2025-08-20 13:58:31-05:00,1987,479.0,475.07812,2025-08-20,15.3
2025-08-20 13:58:55-05:00,1988,478.0,472.96881,2025-08-20,15.7
2025-08-20 13:59:19-05:00,1989,481.0,475.07812,2025-08-20,16.1
2025-08-20 13:59:43-05:00,1990,483.0,479.29681,2025-08-20,16.5
2025-08-20 14:00:07-05:00,1991,483.0,478.59384,2025-08-20,16.9
2025-08-20 14:00:32-05:00,1992,483.0,477.89066,2025-08-20,17.316666666666666
2025-08-20 14:00:56-05:00,1993,482.0,479.29681,2025-08-20,17.716666666666665
2025-08-20 14:01:20-05:00,1994,480.0,475.07812,2025-08-20,18.116666666666667
2025-08-20 14:01:44-05:00,1995,477.0,472.26562,2025-08-20,18.516666666666666
2025-08-20 14:02:08-05:00,1996,474.0,470.85947,2025-08-20,18.916666666666668
2025-08-20 14:02:32-05:00,1997,472.0,466.64056,2025-08-20,19.316666666666666
2025-08-20 14:02:56-05:00,1998,471.0,465.23444,2025-08-20,19.716666666666665
2025-08-20 14:03:20-05:00,1999,469.0,465.23444,2025-08-20,20.116666666666667
2025-08-20 14:03:44-05:00,2000,467.0,461.01553,2025-08-20,20.516666666666666
2025-08-20 14:04:08-05:00,2001,467.0,462.42191,2025-08-20,20.916666666666668
2025-08-20 14:04:32-05:00,2002,467.0,461.01553,2025-08-20,21.316666666666666
2025-08-20 14:04:56-05:00,2003,467.0,461.71872,2025-08-20,21.716666666666665
2025-08-20 14:05:20-05:00,2004,467.0,461.71872,2025-08-20,22.116666666666667
2025-08-20 14:05:44-05:00,2005,466.0,461.01553,2025-08-20,22.516666666666666
2025-08-20 14:06:08-05:00,2006,467.0,462.42191,2025-08-20,22.916666666666668
2025-08-20 14:06:32-05:00,2007,469.0,465.23444,2025-08-20,23.316666666666666
2025-08-20 14:06:56-05:00,2008,469.0,464.53125,2025-08-20,23.716666666666665
2025-08-20 14:07:20-05:00,2009,468.0,465.23444,2025-08-20,24.116666666666667
2025-08-20 14:07:44-05:00,2010,468.0,464.53125,2025-08-20,24.516666666666666
2025-08-20 14:08:09-05:00,2011,469.0,464.53125,2025-08-20,24.933333333333334
2025-08-20 14:08:33-05:00,2012,470.0,464.53125,2025-08-20,25.333333333333332
2025-08-20 14:08:57-05:00,2013,469.0,463.82806,2025-08-20,25.733333333333334
2025-08-20 14:09:21-05:00,2014,471.0,468.04694,2025-08-20,26.133333333333333
2025-08-20 14:09:46-05:00,2015,478.0,475.07812,2025-08-20,26.55
2025-08-20 14:10:09-05:00,2016,486.0,483.51569,2025-08-20,26.933333333333334
2025-08-20 14:10:33-05:00,2017,494.0,489.84369,2025-08-20,27.333333333333332
2025-08-20 14:10:57-05:00,2018,495.0,491.95325,2025-08-20,27.733333333333334
2025-08-20 14:11:21-05:00,2019,497.0,492.65622,2025-08-20,28.133333333333333
2025-08-20 14:11:45-05:00,2020,498.0,495.46875,2025-08-20,28.533333333333335
2025-08-20 14:12:09-05:00,2021,498.0,494.76556,2025-08-20,28.933333333333334
2025-08-20 14:12:33-05:00,2022,498.0,495.46875,2025-08-20,29.333333333333332
2025-08-20 14:12:58-05:00,2023,500.0,494.06259,2025-08-20,29.75
2025-08-20 14:13:21-05:00,2024,502.0,497.57806,2025-08-20,30.133333333333333
2025-08-20 14:13:46-05:00,2025,502.0,498.28125,2025-08-20,30.55
2025-08-20 14:14:10-05:00,2026,501.0,496.87512,2025-08-20,30.95
2025-08-20 14:14:34-05:00,2027,502.0,498.28125,2025-08-20,31.35
2025-08-20 14:14:58-05:00,2028,503.0,496.87512,2025-08-20,31.75
2025-08-20 14:15:22-05:00,2029,502.0,497.57806,2025-08-20,32.15
2025-08-20 14:15:46-05:00,2030,502.0,498.28125,2025-08-20,32.55
2025-08-20 14:16:10-05:00,2031,501.0,496.87512,2025-08-20,32.95
2025-08-20 14:17:25-05:00,2032,503.0,496.87512,2025-08-20,34.2
2025-08-20 14:17:46-05:00,2033,503.0,497.57806,2025-08-20,34.55
2025-08-20 14:18:11-05:00,2034,503.0,498.28125,2025-08-20,34.96666666666667
2025-08-20 14:18:34-05:00,2035,503.0,497.57806,2025-08-20,35.35
2025-08-20 14:18:58-05:00,2036,505.0,501.09378,2025-08-20,35.75
2025-08-20 14:19:23-05:00,2037,505.0,500.39059,2025-08-20,36.166666666666664
2025-08-20 14:19:47-05:00,2038,505.0,500.39059,2025-08-20,36.56666666666667
2025-08-20 14:20:11-05:00,2039,505.0,501.09378,2025-08-20,36.96666666666667
2025-08-20 14:20:35-05:00,2040,504.0,499.68762,2025-08-20,37.36666666666667
2025-08-20 14:20:59-05:00,2041,505.0,501.09378,2025-08-20,37.766666666666666
2025-08-20 14:21:23-05:00,2042,506.0,500.39059,2025-08-20,38.166666666666664
2025-08-20 14:21:47-05:00,2043,506.0,502.49991,2025-08-20,38.56666666666667
2025-08-20 14:22:11-05:00,2044,507.0,503.20309,2025-08-20,38.96666666666667
2025-08-20 14:22:35-05:00,2045,508.0,502.49991,2025-08-20,39.36666666666667
2025-08-20 14:22:59-05:00,2046,507.0,502.49991,2025-08-20,39.766666666666666
2025-08-20 14:23:23-05:00,2047,504.0,500.39059,2025-08-20,40.166666666666664
2025-08-20 14:23:47-05:00,2048,504.0,496.87512,2025-08-20,40.56666666666667
2025-08-20 14:24:11-05:00,2049,505.0,522.89075,2025-08-20,40.96666666666667
2025-08-20 14:24:35-05:00,2050,1157.6666666666665,565.0782228571429,2025-08-20,41.36666666666667
2025-08-20 14:24:59-05:00,2051,1810.3333333333333,607.2656957142857,2025-08-20,41.766666666666666
2025-08-20 14:25:24-05:00,2052,2463.0,649.4531685714286,2025-08-20,42.18333333333333
2025-08-20 14:25:47-05:00,2053,2456.3333333333335,691.6406414285715,2025-08-20,42.56666666666667
2025-08-20 14:26:12-05:00,2054,2449.6666666666665,733.8281142857143,2025-08-20,42.983333333333334
2025-08-20 14:26:36-05:00,2055,2443.0,776.0155871428572,2025-08-20,43.38333333333333
2025-08-20 14:27:00-05:00,2056,925.0,818.20306,2025-08-20,43.78333333333333
2025-08-20 14:27:24-05:00,2057,603.0,588.98437,2025-08-20,44.18333333333333
2025-08-20 14:27:48-05:00,2058,545.0,528.51556,2025-08-20,44.583333333333336
2025-08-20 14:28:12-05:00,2059,507.0,496.87512,2025-08-20,44.983333333333334
2025-08-20 14:28:36-05:00,2060,497.0,491.95325,2025-08-20,45.38333333333333
2025-08-20 14:29:00-05:00,2061,493.0,485.62503,2025-08-20,45.78333333333333
2025-08-20 14:29:24-05:00,2062,489.0,482.8125,2025-08-20,46.18333333333333
2025-08-20 14:29:48-05:00,2063,493.0,494.76556,2025-08-20,46.583333333333336
2025-08-20 14:30:12-05:00,2064,573.0,574.21881,2025-08-20,46.983333333333334
2025-08-20 14:30:36-05:00,2065,580.0,574.21881,2025-08-20,47.38333333333333
2025-08-20 14:31:00-05:00,2066,560.0,555.23438,2025-08-20,47.78333333333333
2025-08-20 14:31:25-05:00,2067,559.0,554.53119,2025-08-20,48.2
2025-08-20 14:31:49-05:00,2068,537.0,527.81262,2025-08-20,48.6
2025-08-20 14:32:12-05:00,2069,509.0,502.49991,2025-08-20,48.983333333333334
2025-08-20 14:32:37-05:00,2070,499.0,494.06259,2025-08-20,49.4
2025-08-20 14:33:01-05:00,2071,508.0,502.7344766666667,2025-08-20,49.8
2025-08-20 14:33:25-05:00,2072,517.0,511.40636333333333,2025-08-20,50.2
2025-08-20 14:53:58-05:00,2073,526.0,520.07825,2025-08-20,70.75
2025-08-20 14:54:22-05:00,2074,520.0,513.75,2025-08-20,71.15
2025-08-20 14:54:46-05:00,2075,518.0,515.15637,2025-08-20,71.55
2025-08-20 14:55:10-05:00,2076,516.0,508.82816,2025-08-20,71.95
2025-08-20 14:55:34-05:00,2077,490.0,472.26562,2025-08-20,72.35
2025-08-20 14:55:58-05:00,2078,420.0,404.76559,2025-08-20,72.75
2025-08-20 14:56:22-05:00,2079,417.0,411.797,2025-08-20,73.15
2025-08-20 14:56:46-05:00,2080,415.0,410.39063,2025-08-20,73.55
2025-08-20 14:57:10-05:00,2081,413.0,406.17197,2025-08-20,73.95
2025-08-20 14:57:34-05:00,2082,411.0,407.57813,2025-08-20,74.35
2025-08-20 14:57:58-05:00,2083,411.0,407.57813,2025-08-20,74.75
2025-08-20 14:58:23-05:00,2084,410.0,404.06241,2025-08-20,75.16666666666667
2025-08-20 14:58:47-05:00,2085,410.0,404.76559,2025-08-20,75.56666666666666
2025-08-20 14:59:11-05:00,2086,410.0,404.06241,2025-08-20,75.96666666666667
2025-08-20 14:59:35-05:00,2087,410.0,404.76559,2025-08-20,76.36666666666666
2025-08-20 14:59:59-05:00,2088,410.0,404.06241,2025-08-20,76.76666666666667
2025-08-20 15:00:25-05:00,2089,410.0,403.35944,2025-08-20,77.2
2025-08-20 15:00:47-05:00,2090,410.0,404.76559,2025-08-20,77.56666666666666
2025-08-20 15:01:11-05:00,2091,410.0,403.35944,2025-08-20,77.96666666666667
2025-08-20 15:01:35-05:00,2092,410.0,407.57813,2025-08-20,78.36666666666666
2025-08-20 15:01:59-05:00,2093,410.0,404.06241,2025-08-20,78.76666666666667
2025-08-20 15:02:23-05:00,2094,410.0,404.06241,2025-08-20,79.16666666666667
2025-08-20 15:02:47-05:00,2095,415.0,407.57813,2025-08-20,79.56666666666666
2025-08-20 15:03:11-05:00,2096,432.0,425.85937,2025-08-20,79.96666666666667
2025-08-20 15:03:35-05:00,2097,403.0,396.32803,2025-08-20,80.36666666666666
2025-08-20 15:03:59-05:00,2098,419.0,415.31247,2025-08-20,80.76666666666667
2025-08-20 15:04:23-05:00,2099,419.0,414.60928,2025-08-20,81.16666666666667
2025-08-20 15:04:47-05:00,2100,419.0,415.31247,2025-08-20,81.56666666666666
2025-08-20 15:05:13-05:00,2101,419.0,414.60928,2025-08-20,82.0
2025-08-20 15:05:35-05:00,2102,419.0,415.31247,2025-08-20,82.36666666666666
2025-08-20 15:06:00-05:00,2103,419.0,415.31247,2025-08-20,82.78333333333333
2025-08-20 15:06:24-05:00,2104,419.0,414.60928,2025-08-20,83.18333333333334
2025-08-20 15:06:48-05:00,2105,419.0,415.31247,2025-08-20,83.58333333333333
2025-08-20 15:07:12-05:00,2106,419.0,414.60928,2025-08-20,83.98333333333333
2025-08-20 15:07:36-05:00,2107,419.0,414.60928,2025-08-20,84.38333333333334
2025-08-20 15:08:00-05:00,2108,419.0,415.31247,2025-08-20,84.78333333333333
2025-08-20 15:08:24-05:00,2109,419.0,414.60928,2025-08-20,85.18333333333334
2025-08-20 15:08:48-05:00,2110,419.0,416.01566,2025-08-20,85.58333333333333
2025-08-20 15:09:12-05:00,2111,419.0,414.60928,2025-08-20,85.98333333333333
2025-08-20 15:09:37-05:00,2112,419.0,414.60928,2025-08-20,86.4
2025-08-20 15:10:00-05:00,2113,419.0,415.31247,2025-08-20,86.78333333333333
2025-08-20 15:10:24-05:00,2114,419.0,414.60928,2025-08-20,87.18333333333334
2025-08-20 15:10:49-05:00,2115,419.0,416.01566,2025-08-20,87.6
2025-08-20 15:11:12-05:00,2116,419.0,414.60928,2025-08-20,87.98333333333333
2025-08-20 15:11:37-05:00,2117,419.0,414.60928,2025-08-20,88.4
2025-08-20 15:12:00-05:00,2118,419.0,416.01566,2025-08-20,88.78333333333333
2025-08-20 15:12:25-05:00,2119,419.0,414.60928,2025-08-20,89.2
2025-08-20 15:12:49-05:00,2120,419.0,416.01566,2025-08-20,89.6
2025-08-20 15:13:13-05:00,2121,419.0,415.31247,2025-08-20,90.0
2025-08-20 15:13:37-05:00,2122,419.0,414.60928,2025-08-20,90.4
2025-08-20 15:14:01-05:00,2123,419.0,415.31247,2025-08-20,90.8
2025-08-20 15:14:25-05:00,2124,419.0,414.60928,2025-08-20,91.2
