created_at,entry_id,co2_ppm,ch4_ppm,fecha,tiempo_relativo_min
2025-08-25 14:33:05-05:00,2814,796.6260162601626,792.7933865853659,2025-08-25,0.0
2025-08-25 14:33:35-05:00,2815,797.2520325203252,793.3993331707318,2025-08-25,0.5
2025-08-25 14:34:11-05:00,2816,797.8780487804878,794.0052797560976,2025-08-25,1.1
2025-08-25 14:34:35-05:00,2817,798.5040650406504,794.6112263414634,2025-08-25,1.5
2025-08-25 14:35:36-05:00,2818,799.130081300813,795.2171729268293,2025-08-25,2.5166666666666666
2025-08-25 14:36:08-05:00,2819,799.7560975609756,795.8231195121951,2025-08-25,3.05
2025-08-25 14:36:38-05:00,2820,800.3821138211382,796.429066097561,2025-08-25,3.55
2025-08-25 14:37:05-05:00,2821,801.0081300813008,797.0350126829269,2025-08-25,4.0
2025-08-25 14:37:35-05:00,2822,801.6341463414634,797.6409592682927,2025-08-25,4.5
2025-08-25 14:38:05-05:00,2823,802.260162601626,798.2469058536585,2025-08-25,5.0
2025-08-25 14:38:35-05:00,2824,802.8861788617886,798.8528524390244,2025-08-25,5.5
2025-08-25 14:39:05-05:00,2825,803.5121951219512,799.4587990243903,2025-08-25,6.0
2025-08-25 14:39:35-05:00,2826,804.1382113821138,800.0647456097562,2025-08-25,6.5
2025-08-25 14:40:05-05:00,2827,804.7642276422764,800.670692195122,2025-08-25,7.0
2025-08-25 14:40:35-05:00,2828,805.390243902439,801.2766387804878,2025-08-25,7.5
2025-08-25 14:41:05-05:00,2829,806.0162601626016,801.8825853658537,2025-08-25,8.0
2025-08-25 14:41:36-05:00,2830,806.6422764227642,802.4885319512196,2025-08-25,8.516666666666667
2025-08-25 14:42:05-05:00,2831,807.2682926829268,803.0944785365854,2025-08-25,9.0
2025-08-25 14:42:35-05:00,2832,807.8943089430894,803.7004251219513,2025-08-25,9.5
2025-08-25 14:43:06-05:00,2833,808.520325203252,804.3063717073171,2025-08-25,10.016666666666667
2025-08-25 14:43:35-05:00,2834,809.1463414634146,804.9123182926829,2025-08-25,10.5
2025-08-25 14:44:06-05:00,2835,809.7723577235772,805.5182648780489,2025-08-25,11.016666666666667
2025-08-25 14:44:36-05:00,2836,810.3983739837398,806.1242114634147,2025-08-25,11.516666666666667
2025-08-25 14:45:06-05:00,2837,811.0243902439024,806.7301580487805,2025-08-25,12.016666666666667
2025-08-25 14:45:36-05:00,2838,811.650406504065,807.3361046341464,2025-08-25,12.516666666666667
2025-08-25 14:46:06-05:00,2839,812.2764227642276,807.9420512195122,2025-08-25,13.016666666666667
2025-08-25 14:46:36-05:00,2840,812.9024390243902,808.547997804878,2025-08-25,13.516666666666667
2025-08-25 14:47:06-05:00,2841,813.5284552845528,809.153944390244,2025-08-25,14.016666666666667
2025-08-25 14:47:36-05:00,2842,814.1544715447154,809.7598909756098,2025-08-25,14.516666666666667
2025-08-25 14:48:06-05:00,2843,814.780487804878,810.3658375609757,2025-08-25,15.016666666666667
2025-08-25 14:48:37-05:00,2844,815.4065040650406,810.9717841463415,2025-08-25,15.533333333333333
2025-08-25 14:49:06-05:00,2845,816.0325203252032,811.5777307317073,2025-08-25,16.016666666666666
2025-08-25 14:49:36-05:00,2846,816.6585365853658,812.1836773170733,2025-08-25,16.516666666666666
