created_at,entry_id,co2_ppm,ch4_ppm
2025-08-10 17:01:24-05:00,1,436.0,432.18759
2025-08-10 17:01:56-05:00,2,422.0,418.125
2025-08-10 17:02:25-05:00,3,430.0,426.56256
2025-08-10 17:02:56-05:00,4,446.0,444.84384
2025-08-10 17:03:26-05:00,5,445.0,440.62494
2025-08-10 17:03:57-05:00,6,450.0,441.32812
2025-08-10 17:04:27-05:00,7,431.0,423.04684
2025-08-10 17:04:56-05:00,8,444.0,451.17184
2025-08-10 17:05:31-05:00,9,484.0,479.29681
2025-08-10 17:06:04-05:00,10,446.0,439.21878
2025-08-10 17:06:37-05:00,11,457.0,453.98434
2025-08-10 17:07:06-05:00,12,452.0,445.54678
2025-08-10 17:07:35-05:00,13,437.0,432.18759
2025-08-10 17:08:05-05:00,14,427.0,420.93753
2025-08-10 17:09:09-05:00,15,418.0,413.90634
2025-08-10 17:09:38-05:00,16,417.0,414.60928
2025-08-10 17:10:36-05:00,17,428.0,423.04684
2025-08-10 17:20:35-05:00,18,441.0,437.10947
2025-08-10 17:22:43-05:00,19,424.0,420.23434
2025-08-10 17:24:48-05:00,20,443.0,436.40628
2025-08-10 17:29:12-05:00,21,425.0,420.23434
2025-08-10 17:39:37-05:00,22,,
2025-08-10 17:41:44-05:00,23,400.0,416.01566
2025-08-10 17:44:40-05:00,24,473.0,472.96881
2025-08-10 17:45:07-05:00,25,463.0,456.09369
2025-08-10 17:45:40-05:00,26,443.0,437.81241
2025-08-10 17:47:15-05:00,27,408.0,404.06241
2025-08-10 17:47:47-05:00,28,411.0,406.87494
2025-08-10 17:51:24-05:00,29,434.0,429.37509
2025-08-10 17:56:02-05:00,30,445.0,440.62494
2025-08-10 17:58:02-05:00,31,414.0,411.09381
2025-08-10 18:02:10-05:00,32,,
2025-08-10 18:04:10-05:00,33,565.0,569.99994
2025-08-10 18:06:11-05:00,34,476.0,467.34375
2025-08-10 18:08:10-05:00,35,466.0,462.42191
2025-08-10 18:10:10-05:00,36,443.0,436.40628
2025-08-10 18:12:10-05:00,37,480.0,470.15628
2025-08-10 18:14:10-05:00,38,504.0,495.46875
2025-08-10 18:18:10-05:00,39,1876.0,1942.49988
2025-08-10 18:18:35-05:00,40,1920.0,1903.12512
2025-08-10 18:18:59-05:00,41,1815.0,1829.29688
2025-08-10 18:20:12-05:00,42,488.0,478.59384
2025-08-10 18:20:37-05:00,43,464.0,453.28116
2025-08-10 18:21:01-05:00,44,444.0,440.62494
2025-08-10 18:22:22-05:00,45,465.0,451.87503
2025-08-10 18:22:46-05:00,46,441.0,434.29694
2025-08-10 18:23:10-05:00,47,431.0,430.07803
2025-08-10 18:23:37-05:00,48,449.0,446.24997
2025-08-10 18:23:58-05:00,49,449.0,444.84384
2025-08-10 18:24:22-05:00,50,446.0,443.43747
2025-08-10 18:24:50-05:00,51,445.0,439.92197
2025-08-10 18:25:10-05:00,52,443.0,439.92197
2025-08-10 18:25:35-05:00,53,436.0,430.07803
2025-08-10 18:25:58-05:00,54,424.0,420.23434
2025-08-10 18:26:22-05:00,55,423.0,417.42181
2025-08-10 18:26:46-05:00,56,428.0,424.45322
2025-08-10 18:27:13-05:00,57,430.0,425.85937
2025-08-10 18:27:36-05:00,58,431.0,427.26575
2025-08-10 18:27:58-05:00,59,426.0,421.64072
2025-08-10 18:28:22-05:00,60,421.0,417.42181
2025-08-10 18:28:47-05:00,61,433.0,432.18759
2025-08-10 18:29:10-05:00,62,468.0,466.64056
2025-08-10 18:29:34-05:00,63,518.0,519.37506
2025-08-10 18:29:59-05:00,64,545.0,541.875
2025-08-10 18:30:23-05:00,65,554.0,549.60937
2025-08-10 18:30:47-05:00,66,559.0,555.93756
2025-08-10 18:31:11-05:00,67,563.0,558.75012
2025-08-10 18:31:35-05:00,68,566.0,560.85944
2025-08-10 18:31:59-05:00,69,567.0,563.67194
2025-08-10 18:32:23-05:00,70,568.0,565.07813
2025-08-10 18:32:48-05:00,71,566.0,560.85944
2025-08-10 18:33:11-05:00,72,566.0,562.26556
2025-08-10 18:33:38-05:00,73,567.0,564.37494
2025-08-10 18:33:59-05:00,74,573.0,571.40631
2025-08-10 18:34:26-05:00,75,529.0,516.5625
2025-08-10 18:34:47-05:00,76,486.0,478.59384
2025-08-10 18:35:11-05:00,77,470.0,470.15628
2025-08-10 18:35:35-05:00,78,485.0,482.8125
2025-08-10 18:35:59-05:00,79,763.0,995.39069
2025-08-10 18:36:24-05:00,80,700.0,669.84381
2025-08-10 18:36:47-05:00,81,540.0,506.71881
2025-08-10 18:37:12-05:00,82,457.0,451.17184
2025-08-10 18:37:37-05:00,83,539.0,557.34375
2025-08-10 18:38:04-05:00,84,634.0,605.15631
2025-08-10 18:38:23-05:00,85,482.0,513.75
2025-08-18 23:09:37-05:00,86,438.0,431.48441
2025-08-18 23:10:01-05:00,87,436.0,432.18759
